strain;stress
-0,000275591;0,87804878
0;2,926829268
0,000275591;5,268292683
0,000275591;7,609756098
0,000275591;9,951219512
0,000275591;14,92682927
0,000275591;17,85365854
0,000826772;25,46341463
0,000826772;29,56097561
0,001102362;34,82926829
0,001377953;40,68292683
0,001653543;49,75609756
0,001929134;55,31707317
0,002755906;66,73170732
0,003582677;74,63414634
0,005511811;82,24390244
0,006614173;85,17073171
0,007992126;86,92682927
0,009094488;88,3902439
0,010748031;90,14634146
0,013503937;93,36585366
0,01488189;95,41463415
0,016811024;97,46341463
0,019015748;99,80487805
0,021220472;101,2682927
0,024251969;104,195122
0,027283465;106,5365854
0,029488189;108,2926829
0,031141732;110,6341463
0,033346457;112,097561
0,037480315;114,1463415
0,042165354;116,4878049
0,046023622;117,6585366
0,052086614;119,7073171
0,061732283;121,4634146
0,068070866;122,3414634
0,07523622;122,9268293
0,081850394;123,5121951
0,090944882;123,2195122
0,097283465;122,9268293
0,102519685;122,9268293
0,11023622;122,0487805
0,115472441;120,8780488
0,122637795;119,7073171
0,136968504;115,902439
0,146889764;112,9756098
0,16011811;108,5853659
0,171968504;103,6097561
0,176377953;101,8536585