Tiempo,Carga,Extensión de tracción
s,N,mm
0,0.25441,0.00011
0.1,17.75244,0.01695
0.2,52.51681,0.05468
0.3,82.20963,0.092
0.4,108.18626,0.12843
0.5,131.54576,0.16463
0.6,152.92879,0.20051
0.7,172.46993,0.237
0.8,190.4827,0.27379
0.9,206.86999,0.31138
1,222.09404,0.34953
1.1,236.09903,0.38844
1.2,249.10383,0.42802
1.3,261.16468,0.46838
1.4,272.26206,0.50934
1.5,282.50596,0.55102
1.6,291.96611,0.59318
1.7,300.7222,0.63574
1.8,308.79175,0.67892
1.9,316.31533,0.72243
2,323.27369,0.76626
2.1,329.85024,0.811
2.2,335.89359,0.85591
2.3,341.5747,0.90144
2.4,346.83082,0.94739
2.5,351.73155,0.99368
2.6,356.28926,1.04078
2.7,360.50867,1.08813
2.8,364.41531,1.13569
2.9,367.9505,1.18399
3,371.34502,1.23253
3.1,374.31382,1.28165
3.2,377.18631,1.33106
3.3,379.81842,1.38134
3.4,382.18807,1.43197
3.5,384.38521,1.48312
3.6,386.30418,1.53467
3.7,388.04311,1.61807
3.8,389.6571,1.70117
3.858,390.56804,1.74977
3.958,391.86612,1.83307
4.058,393.05165,1.91627
4.158,394.15766,1.99967
4.258,395.08335,2.08307
4.358,395.93302,2.16627
4.458,396.62451,2.24967
4.558,397.13379,2.33307
4.658,397.5727,2.41627
4.758,397.97932,2.49957
4.858,398.23849,2.58287
4.958,398.46499,2.66627
5.058,398.51606,2.74967
5.158,398.51252,2.83307
5.258,398.6571,2.91647
5.358,398.02663,2.99967
5.458,397.22353,3.08307
5.558,397.22554,3.16647
5.658,397.40425,3.24967
5.758,397.07053,3.33297
5.858,396.85275,3.41647
5.958,396.42967,3.49967
6.058,395.93145,3.58297
6.158,395.05273,3.66637
6.258,394.93714,3.74967
6.358,394.48358,3.83297
6.458,393.96912,3.91627
6.558,393.3293,3.99967
6.658,392.61296,4.08307
6.758,391.96033,4.16637
6.858,391.28881,4.24977
6.958,390.52587,4.33297
7.058,389.78852,4.41627
7.158,389.05378,4.49967
7.258,388.27296,4.58287
7.358,387.47326,4.66627
7.458,386.65343,4.74967
7.558,385.76528,4.83297
7.658,384.90776,4.91627
7.758,384.073,4.99977
7.858,383.18146,5.08307
7.958,382.23162,5.16627
8.058,381.34526,5.24967
8.158,380.40277,5.33317
8.258,379.44052,5.41627
8.358,378.45761,5.49957
8.458,377.4998,5.58297
8.558,376.481,5.66627
8.658,375.44273,5.74967
8.758,374.45236,5.83297
8.858,373.34133,5.91637
8.958,372.30257,5.99967
9.058,371.22209,6.08307
9.158,370.12603,6.16637
9.258,368.96791,6.24957
9.358,367.794,6.33307
9.458,366.6576,6.41647
9.558,365.46942,6.49967
9.658,364.17853,6.58287
9.758,362.91827,6.66637
9.858,361.62011,6.74957
9.958,360.25222,6.83297
10.058,358.90386,6.91637
10.158,357.42946,6.99967
10.258,355.97436,7.08287
10.358,354.49855,7.16637
10.458,352.93799,7.24967
10.558,351.28519,7.33307
10.658,349.60836,7.41647
10.758,347.91019,7.49977
10.858,346.17729,7.58297
10.958,344.3281,7.66627
11.058,342.53377,7.74957
11.158,340.65582,7.83307
11.258,338.72973,7.91627
11.358,336.72076,7.99957
11.458,334.74203,8.08307
11.558,332.74606,8.16627
11.658,330.65591,8.24977
11.758,328.51841,8.33307
11.858,326.34716,8.41627
11.958,324.23325,8.49977
12.058,322.0262,8.58297
12.158,319.76625,8.66627
12.258,317.47535,8.74967
12.358,315.17647,8.83307
12.458,312.85904,8.91627
12.558,310.49792,8.99967
12.658,308.00829,9.08307
12.758,305.62734,9.16637
12.858,303.07796,9.24947
12.958,300.55435,9.33307
13.058,297.92318,9.41637
13.158,295.25835,9.49957
13.258,292.48912,9.58297
13.358,289.74488,9.66627
13.458,286.8204,9.74967
13.558,283.91318,9.83307
13.658,281.02623,9.91627
13.758,278.04952,9.99977
13.858,275.04224,10.08287
13.958,272.0147,10.16627
14.058,269.0093,10.24967
14.158,265.98915,10.33307
14.258,263.11509,10.41637
14.358,260.2754,10.49957
14.458,257.59468,10.58307
14.558,255.02231,10.66637
14.658,252.67897,10.74977
14.758,250.45887,10.83297
14.858,248.38032,10.91627
14.958,246.59712,10.99967
15.058,244.92757,11.08287
15.158,243.36401,11.16627
15.258,241.94628,11.24957
15.358,240.75622,11.33307
15.458,239.58532,11.41627
15.558,238.59425,11.49967
15.658,237.71357,11.58307
15.758,236.87847,11.66627
15.858,236.28533,11.74967
15.958,235.67678,11.83307
16.058,234.98679,11.91627
16.158,234.45204,11.99967
16.258,234.05774,12.08307
16.358,233.64233,12.16627
16.458,233.24432,12.24967
16.558,232.92053,12.33297
16.658,232.62819,12.41637
16.758,232.36742,12.49957
16.858,232.16002,12.58297
16.958,231.94646,12.66637
17.058,231.68512,12.74957
17.158,231.55233,12.83297
17.258,231.3967,12.91637
17.358,231.24574,12.99967
17.458,231.05554,13.08297
17.558,230.92667,13.16637
17.658,230.81269,13.24967
17.758,230.65146,13.33307
17.858,230.62382,13.41627
17.958,230.62887,13.49967
18.058,230.52791,13.58287
18.158,230.50951,13.66627
18.258,230.45328,13.74977
18.358,230.38154,13.83307
18.458,230.36078,13.91627
18.558,230.36934,13.99977
18.658,230.39682,14.08307
18.758,230.37832,14.16627
18.858,230.41287,14.24967
18.958,230.40958,14.33317
19.058,230.34213,14.41627
19.158,230.31665,14.49957
19.258,230.31363,14.58297
19.358,230.28681,14.66637
19.458,230.24626,14.74967
19.558,230.23171,14.83307
19.658,230.19807,14.91627
19.758,230.17446,14.99967
19.858,230.13951,15.08317
19.958,230.13193,15.16647
20.058,230.10563,15.24966
20.158,230.17421,15.33317
20.258,230.27327,15.41636
20.358,230.34316,15.49967
20.458,230.43282,15.58297
20.558,230.53844,15.66637
20.658,230.70475,15.74967
20.758,230.80677,15.83307
20.858,230.84579,15.91637
20.958,230.94095,15.99967
21.058,230.94762,16.08307
21.158,231.02965,16.16657
21.258,231.0079,16.24967
21.358,231.02611,16.33296
21.458,230.99547,16.41636
21.558,231.02924,16.49967
21.658,231.01617,16.58297
21.758,231.1001,16.66627
21.858,231.17861,16.74967
21.958,231.22828,16.83307
22.058,231.29672,16.91627
22.158,231.34727,16.99967
22.258,231.41161,17.08307
22.358,231.48395,17.16627
22.458,231.63635,17.24967
22.558,231.68379,17.33317
22.658,231.68115,17.41636
22.758,231.73608,17.49987
22.858,231.79376,17.58297
22.958,231.80934,17.66627
23.058,231.81014,17.74967
23.158,231.83037,17.83297
23.258,231.8809,17.91647
23.358,231.89031,17.99967
23.458,231.99324,18.08307
23.558,232.04429,18.16627
23.658,232.1101,18.24967
23.758,232.17786,18.33307
23.858,232.20479,18.41627
23.958,232.20064,18.49966
24.058,232.21472,18.58307
24.158,232.23251,18.66637
24.258,232.25809,18.74967
24.358,232.2587,18.83297
24.458,232.26611,18.91627
24.558,232.26274,18.99967
24.658,232.27682,19.08297
24.758,232.32654,19.16637
24.858,232.33134,19.24966
24.958,232.40918,19.33307
25.058,232.40954,19.41627
25.158,232.47419,19.49966
25.258,232.49712,19.58297
25.358,232.59312,19.66637
25.458,232.62385,19.74967
25.558,232.6666,19.83307
25.658,232.65801,19.91627
25.758,232.67761,19.99967
25.858,232.65241,20.08307
25.958,232.6352,20.16627
26.058,232.63348,20.24966
26.158,232.59465,20.33307
26.258,232.5728,20.41627
26.358,232.56512,20.49966
26.458,232.54212,20.58297
26.558,232.46514,20.66627
26.658,232.42373,20.74957
26.758,232.48311,20.83326
26.858,232.37262,20.91627
26.958,232.29429,20.99957
27.058,232.30916,21.08307
27.158,232.33317,21.16627
27.258,232.32447,21.24967
27.358,232.33838,21.33286
27.458,232.37513,21.41626
27.558,232.39091,21.49967
27.658,232.38663,21.58296
27.758,232.35543,21.66627
27.858,232.37739,21.74967
27.958,232.38933,21.83297
28.058,232.412,21.91627
28.158,232.43051,21.99977
28.258,232.40069,22.08297
28.358,232.3948,22.16637
28.458,232.44116,22.24967
28.558,232.45446,22.33307
28.658,232.48313,22.41626
28.758,232.51284,22.49966
28.858,232.58174,22.58296
28.958,232.65991,22.66627
29.058,232.70633,22.74967
29.158,232.75735,22.83286
29.258,232.85214,22.91626
29.358,232.97165,22.99967
29.458,233.02767,23.08297
29.558,233.14616,23.16627
29.658,233.23173,23.24977
29.758,233.31692,23.33317
29.858,233.38985,23.41626
29.958,233.4295,23.49967
30.058,233.53059,23.58307
30.158,233.58813,23.66626
30.258,233.68502,23.74967
30.358,233.7786,23.83296
30.458,233.85271,23.91626
30.558,233.86165,23.99946
30.658,233.96598,24.08316
30.758,234.01452,24.16636
30.858,234.07487,24.24966
30.958,234.07696,24.33307
31.058,234.14643,24.41636
31.158,234.20194,24.49967
31.258,234.24,24.58286
31.358,234.26946,24.66627
31.458,234.25071,24.74967
31.558,234.21299,24.83307
31.658,234.18769,24.91637
31.758,234.13753,24.99967
31.858,234.12803,25.08307
31.958,234.15893,25.16627
32.058,234.11516,25.24966
32.158,234.13435,25.33297
32.258,234.22195,25.41647
32.358,234.27384,25.49967
32.458,234.27425,25.58286
32.558,234.26851,25.66627
32.658,234.32989,25.74966
32.758,234.38388,25.83307
32.858,234.38318,25.91636
32.958,234.38124,25.99977
33.058,234.37385,26.08297
33.158,234.42596,26.16616
33.258,234.48113,26.24966
33.358,234.45871,26.33307
33.458,234.45347,26.41636
33.558,234.47681,26.49977
33.658,234.45783,26.58306
33.758,234.39432,26.66626
33.858,234.41719,26.74966
33.958,234.46705,26.83296
34.058,234.4743,26.91646
34.158,234.49,26.99966
34.258,234.49594,27.08307
34.358,234.52913,27.16637
34.458,234.52666,27.24967
34.558,234.53921,27.33307
34.658,234.55666,27.41637
34.758,234.56752,27.49966
34.858,234.5952,27.58307
34.958,234.60554,27.66627
35.058,234.64251,27.74977
35.158,234.64104,27.83297
35.258,234.69945,27.91647
35.358,234.69627,27.99976
35.458,234.67848,28.08307
35.558,234.68645,28.16627
35.658,234.67608,28.24966
35.758,234.71994,28.33297
35.858,234.74751,28.41626
35.958,234.80592,28.49967
36.058,234.79996,28.58296
36.158,234.89069,28.66626
36.258,234.9457,28.74966
36.358,234.9543,28.83307
36.458,234.94203,28.91636
36.558,234.97254,28.99967
36.658,234.98869,29.08306
36.758,234.99748,29.16627
36.858,234.99705,29.24957
36.958,235.0039,29.33296
37.058,234.97863,29.41627
37.158,234.98908,29.49956
37.258,234.95225,29.58297
37.358,234.93221,29.66626
37.458,234.90321,29.74967
37.558,234.86607,29.83306
37.658,234.82744,29.91637
37.758,234.7696,29.99966
37.858,234.75504,30.08316
37.958,234.75414,30.16627
38.058,234.68707,30.24967
38.158,234.66131,30.33296
38.258,234.6947,30.41626
38.358,234.66183,30.49956
38.458,234.61975,30.58286
38.558,234.57222,30.66636
38.658,234.57199,30.74966
38.758,234.61962,30.83287
38.858,234.70463,30.91636
38.958,234.73471,30.99967
39.058,234.75109,31.08287
39.158,234.81682,31.16627
39.258,234.88857,31.24986
39.358,234.80253,31.33307
39.458,234.819,31.41626
39.558,234.82786,31.49966
39.658,234.86378,31.58296
39.758,234.86985,31.66626
39.858,234.87004,31.74976
39.958,234.83129,31.83307
40.058,234.79775,31.91627
40.158,234.78083,31.99966
40.258,234.68034,32.08307
40.358,234.61537,32.16626
40.458,234.5697,32.24966
40.558,234.5017,32.33306
40.658,234.41307,32.41637
40.758,234.38834,32.49966
40.858,234.34686,32.58297
40.958,234.32624,32.66636
41.058,234.27334,32.74966
41.158,234.25879,32.83306
41.258,234.19963,32.91637
41.358,234.15396,32.99966
41.458,234.19363,33.08326
41.558,234.17516,33.16636
41.658,234.1862,33.24966
41.758,234.2603,33.33306
41.858,234.28632,33.41646
41.958,234.33037,33.49957
42.058,234.34706,33.58296
42.158,234.3674,33.66627
42.258,234.3796,33.74976
42.358,234.3839,33.83307
42.458,234.37124,33.91636
42.558,234.35801,33.99966
42.658,234.40275,34.08297
42.758,234.46007,34.16636
42.858,234.45299,34.24987
42.958,234.50185,34.33296
43.058,234.5016,34.41636
43.158,234.53265,34.49966
43.258,234.52563,34.58287
43.358,234.5431,34.66626
43.458,234.56139,34.74967
43.558,234.50445,34.83296
43.658,234.51658,34.91626
43.758,234.4968,34.99966
43.858,234.50889,35.08297
43.958,234.49803,35.16616
44.058,234.48186,35.24976
44.158,234.46992,35.33307
44.258,234.43088,35.41637
44.358,234.45353,35.49976
44.458,234.43578,35.58307
44.558,234.41058,35.66627
44.658,234.44539,35.74966
44.758,234.43734,35.83307
44.858,234.48275,35.91636
44.958,234.51187,35.99957
45.058,234.53398,36.08306
45.158,234.51513,36.16626
45.258,234.55355,36.24956
45.358,234.65594,36.33307
45.458,234.67094,36.41636
45.558,234.66168,36.49966
45.658,234.746,36.58296
45.758,234.8529,36.66647
45.858,234.83951,36.74966
45.958,234.89296,36.83296
46.058,234.97472,36.91626
46.158,235.00072,36.99966
46.258,235.01555,37.08306
46.358,235.14405,37.16626
46.458,235.19093,37.24966
46.558,235.25009,37.33307
46.658,235.33488,37.41626
46.758,235.37999,37.49977
46.858,235.35369,37.58286
46.958,235.3625,37.66626
47.058,235.44906,37.74986
47.158,235.44626,37.83307
47.258,235.41827,37.91626
47.358,235.39897,37.99966
47.458,235.43943,38.08297
47.558,235.47655,38.16626
47.658,235.45852,38.24957
47.758,235.45226,38.33296
47.858,235.46787,38.41626
47.958,235.46809,38.49957
48.058,235.46113,38.58307
48.158,235.45494,38.66626
48.258,235.46401,38.74966
48.358,235.44513,38.83307
48.458,235.41503,38.91626
48.558,235.38023,38.99966
48.658,235.38077,39.08306
48.758,235.36026,39.16627
48.858,235.35511,39.24966
48.958,235.26413,39.33297
49.058,235.23936,39.41627
49.158,235.21455,39.49966
49.258,235.22897,39.58306
49.358,235.16022,39.66637
49.458,235.17009,39.74966
49.558,235.18234,39.83286
49.658,235.20626,39.91646
49.758,235.06425,39.99966
49.858,235.04229,40.08287
49.958,235.00925,40.16636
50.058,234.91476,40.24967
50.158,234.88251,40.33306
50.258,234.85376,40.41637
50.358,234.85595,40.49986
50.458,234.77368,40.58286
50.558,234.77346,40.66626
50.658,234.67937,40.74966
50.758,234.66477,40.83306
50.858,234.63029,40.91626
50.958,234.554,40.99976
51.058,234.51013,41.08307
51.158,234.47827,41.16627
51.258,234.47508,41.24966
51.358,234.48963,41.33307
51.458,234.42371,41.41636
51.558,234.4111,41.49966
51.658,234.37552,41.58306
51.758,234.38692,41.66626
51.858,234.3126,41.74966
51.958,234.30204,41.83307
52.058,234.24666,41.91626
52.158,234.24549,41.99966
52.258,234.24827,42.08306
52.358,234.26322,42.16626
52.458,234.15502,42.24966
52.558,234.10866,42.33307
52.658,234.06951,42.41647
52.758,234.01324,42.49966
52.858,233.89289,42.58287
52.958,233.89764,42.66626
53.058,233.85983,42.74966
53.158,233.80227,42.83296
53.258,233.716,42.91627
53.358,233.66965,42.99976
53.458,233.61253,43.08286
53.558,233.60828,43.16646
53.658,233.53962,43.24977
53.758,233.41788,43.33307
53.858,233.33618,43.41647
53.958,233.3077,43.49966
54.058,233.18736,43.58296
54.158,233.15212,43.66626
54.258,233.09218,43.74956
54.358,233.01652,43.83297
54.458,232.97057,43.91626
54.558,232.84458,43.99967
54.658,232.69545,44.08306
54.758,232.67411,44.16626
54.858,232.57608,44.24976
54.958,232.4873,44.33307
55.058,232.40479,44.41626
55.158,232.39613,44.49976
55.258,232.38124,44.58307
55.358,232.31659,44.66626
55.458,232.24322,44.74966
55.558,232.20725,44.83307
55.658,232.08804,44.91636
55.758,232.00098,44.99966
55.858,231.96757,45.08297
55.958,231.908,45.16626
56.058,231.78274,45.24957
56.158,231.74746,45.33326
56.258,231.70618,45.41636
56.358,231.68592,45.49966
56.458,231.59223,45.58307
56.558,231.51239,45.66636
56.658,231.43226,45.74976
56.758,231.36595,45.83306
56.858,231.3027,45.91636
56.958,231.25887,45.99976
57.058,231.21543,46.08296
57.158,231.24538,46.16626
57.258,231.24579,46.24966
57.358,231.20375,46.33306
57.458,231.22126,46.41646
57.558,231.16862,46.49966
57.658,231.15752,46.58296
57.758,231.10503,46.66626
57.858,231.07586,46.74966
57.958,231.05418,46.83306
58.058,230.97249,46.91627
58.158,230.97536,46.99976
58.258,230.98409,47.08297
58.358,230.89759,47.16636
58.458,230.86036,47.24966
58.558,230.78952,47.33306
58.658,230.77747,47.41626
58.758,230.78999,47.49966
58.858,230.68834,47.58307
58.958,230.60249,47.66626
59.058,230.60665,47.74966
59.158,230.61097,47.83306
59.258,230.57612,47.91636
59.358,230.44886,47.99966
59.458,230.43351,48.08306
59.558,230.40522,48.16647
59.658,230.35277,48.24966
59.758,230.358,48.33297
59.858,230.32762,48.41637
59.958,230.30976,48.49966
60.058,230.29292,48.58286
60.158,230.27016,48.66636
60.258,230.24864,48.74956
60.358,230.23482,48.83286
60.458,230.21482,48.91626
60.558,230.18343,48.99966
60.658,230.11018,49.08306
60.758,230.04116,49.16626
60.858,230.05662,49.24977
60.958,230.03278,49.33316
61.058,229.96543,49.41626
61.158,229.96208,49.49966
61.258,229.9075,49.58286
61.358,229.91395,49.66626
61.458,229.89335,49.74976
61.558,229.81897,49.83306
61.658,229.79286,49.91626
61.758,229.80751,49.99976
61.858,229.78438,50.08295
61.958,229.74657,50.16627
62.058,229.82053,50.24966
62.158,229.76385,50.33307
62.258,229.72815,50.41626
62.358,229.74428,50.49946
62.458,229.74139,50.58307
62.558,229.65819,50.66626
62.658,229.63967,50.74966
62.758,229.64794,50.83307
62.858,229.62924,50.91636
62.958,229.64191,50.99956
63.058,229.66485,51.08296
63.158,229.61786,51.16626
63.258,229.54367,51.24957
63.358,229.53013,51.33306
63.458,229.51828,51.41646
63.558,229.48483,51.49966
63.658,229.45205,51.58297
63.758,229.42904,51.66636
63.858,229.42077,51.74976
63.958,229.39406,51.83316
64.05801,229.31445,51.91636
64.158,229.31112,51.99966
64.258,229.25854,52.08286
64.358,229.21396,52.16637
64.458,229.11604,52.24966
64.55801,229.12987,52.33296
64.658,229.06896,52.41626
64.758,229.06428,52.49966
64.858,229.05461,52.58307
64.958,229.0228,52.66626
65.05801,228.9851,52.74966
65.158,229.04929,52.83316
65.258,229.01509,52.91626
65.358,228.89331,52.99966
65.458,228.90279,53.08306
65.55801,228.89791,53.16626
65.65801,228.95347,53.24966
65.758,228.91646,53.33306
65.858,228.90426,53.41626
65.958,228.91354,53.49976
66.05801,228.91019,53.58306
66.15801,228.89199,53.66636
66.258,228.87373,53.74966
66.358,228.89331,53.83296
66.458,228.85138,53.91646
66.55801,228.91119,53.99966
66.65801,228.91447,54.08306
66.758,228.90668,54.16626
66.858,228.93313,54.24966
66.958,228.97435,54.33326
67.05801,229.00576,54.41636
67.15801,228.9415,54.49966
67.258,228.97946,54.58297
67.358,229.03213,54.66636
67.458,229.0312,54.74966
67.55801,229.06736,54.83296
67.65801,229.08302,54.91636
67.758,229.15917,54.99976
67.858,229.16283,55.08286
67.958,229.15218,55.16626
68.05801,229.20063,55.24967
68.15801,229.13972,55.33306
68.258,229.17343,55.41637
68.358,229.08816,55.49966
68.458,229.07287,55.58307
68.55801,229.03994,55.66646
68.65801,229.05907,55.74976
68.758,229.0019,55.83296
68.858,228.95103,55.91636
68.958,228.94101,55.99966
69.05801,228.92123,56.08306
69.15801,228.89316,56.16636
69.258,228.83387,56.24956
69.358,228.83814,56.33307
69.458,228.78395,56.41626
69.55801,228.7838,56.49966
69.65801,228.77201,56.58306
69.758,228.72595,56.66626
69.858,228.73264,56.74957
69.958,228.69376,56.83326
70.05801,228.58411,56.91636
70.15801,228.55094,56.99966
70.258,228.51832,57.08306
70.358,228.49375,57.16626
70.458,228.51819,57.24966
70.55801,228.50966,57.33295
70.65801,228.5138,57.41627
70.758,228.52352,57.49957
70.858,228.5845,57.58297
70.958,228.56884,57.66626
71.05801,228.58458,57.74966
71.15801,228.59029,57.83296
71.258,228.62371,57.91647
71.358,228.60806,57.99966
71.458,228.72088,58.08296
71.55801,228.72586,58.16626
71.65801,228.80828,58.24966
71.758,228.80716,58.33297
